category_en,orders,customers,products_sold,sellers,units,product_revenue,freight_revenue,gmv,avg_item_price,avg_weight_g,delivered_units,avg_review_score,avg_delivery_days,late_rate,rated_units,negative_review_rate,freight_ratio,pct_of_revenue,cumulative_pct
furniture_bedroom,95,91,45,23,109,20028.78,4632.23,24661.01,183.75027522935778,9989.220183486239,103,4.252427184466019,13.174757281553399,0.06796116504854369,103,0.1262135922330097,0.1878361835139761,0.00148918069825026,0.9898665765091644
books_technical,259,258,122,25,266,18829.06,4250.22,23079.28,70.78593984962407,1011.1315789473684,263,4.376425855513308,10.577946768060837,0.07984790874524715,263,0.10646387832699619,0.1841573913917592,0.0013999790660337796,0.9912665555751982
costruction_tools_tools,97,97,39,24,103,15903.95,2030.22,17934.17,154.40728155339806,1161.7669902912621,103,4.359223300970874,12.067961165048544,0.05825242718446602,103,0.10679611650485436,0.11320401222916925,0.0011824911635125667,0.9924490467387107
food_drink,225,223,102,33,276,15119.48,4488.62,19608.1,54.78072463768116,1109.9420289855072,269,4.368029739776952,10.806691449814126,0.040892193308550186,269,0.06691449814126393,0.2289166211922624,0.0011241642168709647,0.9935732109555817
fashion_male_clothing,110,108,93,13,130,10723.92,2133.67,12857.59,82.4916923076923,583.2692307692307,124,3.7580645161290325,12.790322580645162,0.056451612903225805,124,0.25,0.1659463398661802,0.0007973453537150006,0.9943705563092967
fashion_underwear_beach,121,121,53,9,131,9541.55,1916.19,11457.74,72.83625954198473,276.14503816793894,127,4.0236220472440944,13.606299212598426,0.09448818897637795,127,0.16535433070866143,0.16723978725298358,0.0007094337294328345,0.9950799900387296
christmas_supplies,127,127,64,17,152,8787.83,3221.36,12009.19,57.81467105263158,1904.8552631578948,150,3.953333333333333,15.673333333333334,0.1,150,0.16666666666666666,0.2682412385847838,0.0006533931080926838,0.9957333831468222
tablets_printing_image,79,79,9,6,83,7528.41,1226.2,8754.61,90.70373493975903,307.09638554216866,83,4.048192771084337,12.963855421686747,0.060240963855421686,83,0.1566265060240964,0.14006334948101629,0.0005597526589494837,0.9962931358057717
cine_photo,65,65,28,14,72,6933.46,1256.2,8189.66,96.29805555555555,1160.861111111111,70,4.285714285714286,10.5,0.05714285714285714,70,0.12857142857142856,0.1533885411604389,0.0005155169113690523,0.9968086527171408
music,38,38,27,19,38,6034.35,690.51,6724.86,158.79868421052632,1688.1052631578948,38,4.2105263157894735,11.552631578947368,0.05263157894736842,38,0.10526315789473684,0.10268020449496347,0.000448666246595472,0.9972573189637363
